ShellID,Point,Area,Mean,Min,Max,X,Y,Curve
2012_MMM_015,1,0,165,165,165,1946.333,910.667,0
2012_MMM_015,2,0,94,94,94,2611.667,1717,0
2012_MMM_015,3,0,57,57,57,1177,1688.333,0
2012_MMM_015,4,0,44,44,44,1153.5,1306,0
2012_MMM_015,5,0,39,39,39,1313.5,1304.5,0
2012_MMM_015,6,1143,52.574,16.671,138.667,0,0,1144.509
2012_MMM_016,1,0,59,59,59,2277.333,1165.333,0
2012_MMM_016,2,0,67,67,67,2790.667,1688,0
2012_MMM_016,3,0,36,36,36,1498.667,1645.333,0
2012_MMM_016,4,0,73,73,73,1249.5,1204.5,0
2012_MMM_016,5,0,64,64,64,1422,1204.5,0
2012_MMM_016,6,951,48.135,23.665,74.838,0,0,952.501
2012_MMM_017,1,0,107,107,107,2015,1213.333,0
2012_MMM_017,2,0,107,107,107,2616.333,1889.667,0
2012_MMM_017,3,0,77,77,77,1233.667,1866,0
2012_MMM_017,4,0,51,51,51,935.333,1329.333,0
2012_MMM_017,5,0,54,54,54,1107.333,1329.333,0
2012_MMM_017,6,1085,71.832,35.139,114.316,0,0,1087.399
2012_MMM_018,1,0,162,162,162,1923,896.333,0
2012_MMM_018,2,0,123,123,123,2669,1812,0
2012_MMM_018,3,0,40,40,40,1008,1794,0
2012_MMM_018,4,0,45,45,45,993.667,1301.333,0
2012_MMM_018,5,0,47,47,47,1153,1299.333,0
2012_MMM_018,6,1387,58.473,12.772,192.159,0,0,1388.584
2012_MMM_019,1,0,64,64,64,2059,927,0
2012_MMM_019,2,0,123,123,123,2915,1720.333,0
2012_MMM_019,3,0,53,53,53,1053.667,1683,0
2012_MMM_019,4,0,66,66,66,1086,1200,0
2012_MMM_019,5,0,71,71,71,1258.5,1199.5,0
2012_MMM_019,6,1363,49.485,24.181,84.333,0,0,1363.466
2012_MMM_020,1,0,71,71,71,2145,1185,0
2012_MMM_020,2,0,85,85,85,2454,1406.667,0
2012_MMM_020,3,0,71,71,71,1683.333,1413.333,0
2012_MMM_020,4,0,47,47,47,1070,1376,0
2012_MMM_020,5,0,48,48,48,1241,1375,0
2012_MMM_020,6,520,75.156,54.15,99.173,0,0,520.934
2012_MMM_021,1,0,107,107,107,2079,1011,0
2012_MMM_021,2,0,82,82,82,2598,1644,0
2012_MMM_021,3,0,64,64,64,1362,1641,0
2012_MMM_021,4,0,32,32,32,992.667,1467,0
2012_MMM_021,5,0,35,35,35,1154,1467,0
2012_MMM_021,6,1005,56.344,27.806,105.174,0,0,1006.501
2012_MMM_022,1,0,72,72,72,2064,1344,0
2012_MMM_022,2,0,19,19,19,2226,1527,0
2012_MMM_022,3,0,36,36,36,1749,1527,0
2012_MMM_022,4,0,30,30,30,1140.333,1469,0
2012_MMM_022,5,0,43,43,43,1301.667,1469,0
2012_MMM_022,6,388,45.154,17.493,73.298,0,0,390.523
2012_MMM_023,1,0,126,126,126,1977,993,0
2012_MMM_023,2,0,105,105,105,2652,1887,0
2012_MMM_023,3,0,76,76,76,1134,1839,0
2012_MMM_023,4,0,53,53,53,938.5,1323,0
2012_MMM_023,5,0,56,56,56,1110.5,1324,0
2012_MMM_023,6,1257,74.81,33.101,148.811,0,0,1258.212
2012_MMM_024,1,0,89,89,89,2124.667,1267.667,0
2012_MMM_024,2,0,64,64,64,2363.333,1514.333,0
2012_MMM_024,3,0,64,64,64,1730,1511.667,0
2012_MMM_024,4,0,38,38,38,1143,1308,0
2012_MMM_024,5,0,41,41,41,1304.333,1308,0
2012_MMM_024,6,522,62.768,29.705,95.78,0,0,526.704
2012_MMM_025,1,0,95,95,95,2109,987,0
2012_MMM_025,2,0,36,36,36,2883,1671,0
2012_MMM_025,3,0,31,31,31,1047,1626,0
2012_MMM_025,4,0,45,45,45,912.333,1203.333,0
2012_MMM_025,5,0,46,46,46,1084.333,1203.333,0
2012_MMM_025,6,1304,45.718,20.878,95.438,0,0,1305.191
2012_MMM_026,1,0,54,54,54,2084.333,1289.333,0
2012_MMM_026,2,0,38,38,38,2281.667,1502.667,0
2012_MMM_026,3,0,38,38,38,1731,1496,0
2012_MMM_026,4,0,34,34,34,1144,1331.5,0
2012_MMM_026,5,0,35,35,35,1304.5,1330.5,0
2012_MMM_026,6,428,44.742,22.138,81.459,0,0,429.986
2012_MMM_027,1,0,72,72,72,2052,966,0
2012_MMM_027,2,0,120,120,120,2763,1761,0
2012_MMM_027,3,0,42,42,42,1053,1725,0
2012_MMM_027,4,0,61,61,61,817,1202.333,0
2012_MMM_027,5,0,63,63,63,990.333,1201.667,0
2012_MMM_027,6,1301,63.449,35.993,95.293,0,0,1301.84
2012_MMM_028,1,0,109,109,109,2081,1229,0
2012_MMM_028,2,0,37,37,37,2250,1413,0
2012_MMM_028,3,0,30,30,30,1772,1410,0
2012_MMM_028,4,0,42,42,42,1145,1307.333,0
2012_MMM_028,5,0,41,41,41,1305.667,1306,0
2012_MMM_028,6,380,196.121,123.501,255,0,0,380.485
2012_MMM_058,1,0,88,88,88,1999.5,1159,0
2012_MMM_058,2,0,71,71,71,2469.667,1686.667,0
2012_MMM_058,3,0,61,61,61,1388.667,1651.667,0
2012_MMM_058,4,0,35,35,35,994,1469,0
2012_MMM_058,5,0,34,34,34,1153.5,1468.5,0
2012_MMM_058,6,832,60.124,19.898,92.761,0,0,834.192
2012_MMM_059,1,0,140,140,140,2103,933,0
2012_MMM_059,2,0,44,44,44,2565,1623,0
2012_MMM_059,3,0,34,34,34,1452,1590,0
2012_MMM_059,4,0,51,51,51,1143,1305.5,0
2012_MMM_059,5,0,55,55,55,1303.5,1306,0
2012_MMM_059,6,994,61.214,22.435,142.333,0,0,995.755
2012_MMM_060,1,0,95,95,95,1900,1069,0
2012_MMM_060,2,0,71,71,71,2586,1707,0
2012_MMM_060,3,0,21,21,21,1064,1688,0
2012_MMM_060,4,0,41,41,41,931.333,1330,0
2012_MMM_060,5,0,39,39,39,1104,1330,0
2012_MMM_060,6,1077,51.533,16.463,95.493,0,0,1076.631
2012_MMM_061,1,0,88,88,88,2168,1246,0
2012_MMM_061,2,0,63,63,63,2810,1879.333,0
2012_MMM_061,3,0,34,34,34,1225,1804,0
2012_MMM_061,4,0,50,50,50,1097.667,1547.667,0
2012_MMM_061,5,0,47,47,47,1270.333,1547,0
2012_MMM_061,6,1115,46.124,22.624,86.336,0,0,1114.448
2012_MMM_062,1,0,60,60,60,1892,1326,0
2012_MMM_062,2,0,42,42,42,2195,1564,0
2012_MMM_062,3,0,33,33,33,1406,1536,0
2012_MMM_062,4,0,35,35,35,931.667,1331.667,0
2012_MMM_062,5,0,29,29,29,1103.667,1332.333,0
2012_MMM_062,6,534,62.596,26.359,92.016,0,0,534.158
2012_MMM_063,1,0,84,84,84,2089,1126,0
2012_MMM_063,2,0,88,88,88,2715,1676,0
2012_MMM_063,3,0,53,53,53,1171,1672,0
2012_MMM_063,4,0,47,47,47,1085,1201.5,0
2012_MMM_063,5,0,59,59,59,1257.5,1201,0
2012_MMM_063,6,1092,47.585,26.856,83.624,0,0,1091.326
2012_MMM_064,1,0,106,106,106,1916,1141,0
2012_MMM_064,2,0,73,73,73,2450,1789,0
2012_MMM_064,3,0,58,58,58,1244,1737,0
2012_MMM_064,4,0,37,37,37,991.5,1307,0
2012_MMM_064,5,0,43,43,43,1151.5,1307,0
2012_MMM_064,6,949,65.67,49.253,96.994,0,0,949.883
2012_MMM_065,1,0,83,83,83,1968,998,0
2012_MMM_065,2,0,96,96,96,2524,1664,0
2012_MMM_065,3,0,69,69,69,1196,1636,0
2012_MMM_065,4,0,39,39,39,992,1306,0
2012_MMM_065,5,0,39,39,39,1152.667,1306.333,0
2012_MMM_065,6,1047,71.952,34.942,116.69,0,0,1047.317
2012_MMM_066,1,0,66,66,66,2118.333,1071.333,0
2012_MMM_066,2,0,84,84,84,2836.333,1768.667,0
2012_MMM_066,3,0,92,92,92,1243.667,1764.333,0
2012_MMM_066,4,0,46,46,46,916,1546,0
2012_MMM_066,5,0,46,46,46,1088.667,1545.333,0
2012_MMM_066,6,1132,49.164,17.959,86.617,0,0,1131.917
2012_MMM_067,1,0,118,118,118,1903.667,1112,0
2012_MMM_067,2,0,67,67,67,2513.667,1860.667,0
2012_MMM_067,3,0,52,52,52,1117.667,1837,0
2012_MMM_067,4,0,40,40,40,934.667,1326.667,0
2012_MMM_067,5,0,43,43,43,1107.333,1327.333,0
2012_MMM_067,6,1145,59.307,14.164,99.828,0,0,1145.457
2012_MMM_068,1,0,116,116,116,2035,1229,0
2012_MMM_068,2,0,96,96,96,2581,1751,0
2012_MMM_068,3,0,49,49,49,1235,1741,0
2012_MMM_068,4,0,58,58,58,985,1197,0
2012_MMM_068,5,0,77,77,77,1159,1196.5,0
2012_MMM_068,6,984,77.088,37.145,118.823,0,0,983.678
2012_MMM_069,1,0,106,106,106,1936,1206,0
2012_MMM_069,2,0,71,71,71,2361,1710,0
2012_MMM_069,3,0,72,72,72,1400,1705,0
2012_MMM_069,4,0,52,52,52,1154.5,1303.5,0
2012_MMM_069,5,0,45,45,45,1314.5,1303.5,0
2012_MMM_069,6,781,77.389,28.222,112.716,0,0,782.482
2012_MMM_070,1,0,96,96,96,1930,1208,0
2012_MMM_070,2,0,84,84,84,2452,1589.667,0
2012_MMM_070,3,0,74,74,74,1289,1599,0
2012_MMM_070,4,0,47,47,47,926,1373,0
2012_MMM_070,5,0,45,45,45,1098.5,1373,0
2012_MMM_070,6,768,76.05,37.195,106.73,0,0,767.664
2012_MMM_072,1,0,102,102,102,2161,1264,0
2012_MMM_072,2,0,63,63,63,2384,1452,0
2012_MMM_072,3,0,83,83,83,1788,1438,0
2012_MMM_072,4,0,49,49,49,1234.5,1199,0
2012_MMM_072,5,0,43,43,43,1406.5,1199,0
2012_MMM_072,6,419,79.69,61.84,102.374,0,0,418.637
2012_MMM_073,1,0,67,67,67,2225,1031,0
2012_MMM_073,2,0,107,107,107,2860,1676,0
2012_MMM_073,3,0,80,80,80,1377,1658,0
2012_MMM_073,4,0,47,47,47,1091,1374,0
2012_MMM_073,5,0,55,55,55,1264,1373,0
